file,tutorialEnglish,sectionEnglish,tutorialId,sectionId,tutorialTitleKr,sectionTitle,originalFile
054_LLM__Practice-Code-1-Function-Calling.ipynb,LLM 에이전트,Practice-Code-1-Function-Calling,expand-llm-agents,expand-llm-agents-code-1,LLM 에이전트,실습 코드 1: Function Calling 에이전트,054_expand-llm-agents_expand-llm-agents-code-1_LLM_에이전트_-_실습_코드_1-_Function_Calling_에이전트.ipynb
055_section__Practice-Code-1-RoPE-Scaling-Implementation-Context-Window.ipynb,롱 컨텍스트 처리,Practice-Code-1-RoPE-Scaling-Implementation-Context-Window,expand-long-context,expand-long-context-code-1,롱 컨텍스트 처리,실습 코드 1: RoPE Scaling 구현: 컨텍스트 윈도우 확장,055_expand-long-context_expand-long-context-code-1_롱_컨텍스트_처리_-_실습_코드_1-_RoPE_Scaling_구현-_컨텍스트_윈도우_확장.ipynb
056_section__Practice-Code-2-Needle-in-a-Haystack-Implementation.ipynb,롱 컨텍스트 처리,Practice-Code-2-Needle-in-a-Haystack-Implementation,expand-long-context,expand-long-context-code-2,롱 컨텍스트 처리,실습 코드 2: Needle-in-a-Haystack 테스트 구현,056_expand-long-context_expand-long-context-code-2_롱_컨텍스트_처리_-_실습_코드_2-_Needle-in-a-Haystack_테스트_구현.ipynb
057_section__Practice-Code-3-KV-Cache-Compression-Selective-Retention-of-Important-Tokens.ipynb,롱 컨텍스트 처리,Practice-Code-3-KV-Cache-Compression-Selective-Retention-of-Important-Tokens,expand-long-context,expand-long-context-code-3,롱 컨텍스트 처리,실습 코드 3: KV Cache 압축: 중요 토큰 선택적 유지,057_expand-long-context_expand-long-context-code-3_롱_컨텍스트_처리_-_실습_코드_3-_KV_Cache_압축-_중요_토큰_선택적_유지.ipynb
058_Vectors-The-Foundation-of-Neural-Networks__Vector-Basics-and-Geometric-Meaning.ipynb,Vectors: The Foundation of Neural Networks,Vector-Basics-and-Geometric-Meaning,math-1-1,math-1-1-1,벡터: 신경망의 기초,벡터의 기초와 기하학적 의미,058_math-1-1_math-1-1-1_벡터-_신경망의_기초_-_벡터의_기초와_기하학적_의미.ipynb
059_Matrices-Linear-Transformations__Matrix-Multiplication-and-Linear-Transformations.ipynb,Matrices: Linear Transformations,Matrix-Multiplication-and-Linear-Transformations,math-2-1,math-2-1-1,행렬: 선형 변환,행렬 곱셈과 선형 변환,059_math-2-1_math-2-1-1_행렬-_선형_변환_-_행렬_곱셈과_선형_변환.ipynb
060_Eigenvalue-Decomposition-Understanding-Matrix-Structure__Geometry-of-Eigenvalues-and-Eigenvectors.ipynb,Eigenvalue Decomposition: Understanding Matrix Structure,Geometry-of-Eigenvalues-and-Eigenvectors,math-3-1,math-3-1-1,고유값 분해: 행렬 구조 이해,고유값과 고유벡터의 기하학,060_math-3-1_math-3-1-1_고유값_분해-_행렬_구조_이해_-_고유값과_고유벡터의_기하학.ipynb
061_Singular-Value-Decomposition-SVD__Principles-and-Applications-of-SVD.ipynb,Singular Value Decomposition (SVD),Principles-and-Applications-of-SVD,math-4-1,math-4-1-1,특이값 분해 (SVD),SVD의 원리와 응용,061_math-4-1_math-4-1-1_특이값_분해_(SVD)_-_SVD의_원리와_응용.ipynb
062_Tensor-Products-and-Kronecker-Products__Principles-of-Tensor-Products-and-Transformer-Applications.ipynb,Tensor Products and Kronecker Products,Principles-of-Tensor-Products-and-Transformer-Applications,math-5-1,math-5-1-1,텐서 곱과 크로네커 곱,텐서 곱의 원리와 트랜스포머 응용,062_math-5-1_math-5-1-1_텐서_곱과_크로네커_곱_-_텐서_곱의_원리와_트랜스포머_응용.ipynb
063_Memory-Layout-for-Neural-Network-Tensors__Row-Major-vs-Column-Major-and-Cache-Efficiency.ipynb,Memory Layout for Neural Network Tensors,Row-Major-vs-Column-Major-and-Cache-Efficiency,cs-1-1,cs-1-1-1,신경망 텐서의 메모리 레이아웃,Row-Major vs Column-Major와 캐시 효율성,063_cs-1-1_cs-1-1-1_신경망_텐서의_메모리_레이아웃_-_Row-Major_vs_Column-Major와_캐시_효율성.ipynb
064_GPU-Architecture-for-Transformer-Computation__GPU-Parallel-Processing-and-Matrix-Operations.ipynb,GPU Architecture for Transformer Computation,GPU-Parallel-Processing-and-Matrix-Operations,cs-2-1,cs-2-1-1,GPU 아키텍처와 트랜스포머 연산,GPU 병렬 처리와 행렬 연산,064_cs-2-1_cs-2-1-1_GPU_아키텍처와_트랜스포머_연산_-_GPU_병렬_처리와_행렬_연산.ipynb
065_Numerical-Precision-in-Deep-Learning__FP32-FP16-BF16-Differences-and-Mixed-Precision.ipynb,Numerical Precision in Deep Learning,FP32-FP16-BF16-Differences-and-Mixed-Precision,cs-3-1,cs-3-1-1,딥러닝의 수치 정밀도,"FP32, FP16, BF16의 차이와 혼합 정밀도","065_cs-3-1_cs-3-1-1_딥러닝의_수치_정밀도_-_FP32,_FP16,_BF16의_차이와_혼합_정밀도.ipynb"
066_Attention-Is-All-You-Need-Modern-Rebuild__Scaled-Dot-Product-Attention-from-Scratch.ipynb,Attention Is All You Need: Modern Rebuild,Scaled-Dot-Product-Attention-from-Scratch,mod-attention-paper-lab,mod-attn-1,Attention Is All You Need 재구현 실습,Scaled Dot-Product Attention from Scratch,066_mod-attention-paper-lab_mod-attn-1_Attention_Is_All_You_Need_재구현_실습_-_Scaled_Dot-Product_Attention_from_Scratch.ipynb
067_Attention-Is-All-You-Need-Modern-Rebuild__Additional-Practice-Scaled-Dot-Product-Attention-Implementation.ipynb,Attention Is All You Need: Modern Rebuild,Additional-Practice-Scaled-Dot-Product-Attention-Implementation,mod-attention-paper-lab,practice-attention-basic,Attention Is All You Need 재구현 실습,추가 실습 코드: Scaled Dot-Product Attention 구현,067_mod-attention-paper-lab_practice-attention-basic_Attention_Is_All_You_Need_재구현_실습_-_추가_실습_코드-_Scaled_Dot-Product_Attention_구현.ipynb
068_Attention-Is-All-You-Need-Modern-Rebuild__Additional-Practice-Causal-Masked-Attention-Implementation.ipynb,Attention Is All You Need: Modern Rebuild,Additional-Practice-Causal-Masked-Attention-Implementation,mod-attention-paper-lab,practice-attention-mask,Attention Is All You Need 재구현 실습,추가 실습 코드: Causal (Masked) Attention 구현,068_mod-attention-paper-lab_practice-attention-mask_Attention_Is_All_You_Need_재구현_실습_-_추가_실습_코드-_Causal_(Masked)_Attention_구현.ipynb
069_Attention-Is-All-You-Need-Modern-Rebuild__Additional-Practice-Complete-Multi-Head-Attention-Implementation.ipynb,Attention Is All You Need: Modern Rebuild,Additional-Practice-Complete-Multi-Head-Attention-Implementation,mod-attention-paper-lab,practice-multi-head-attention,Attention Is All You Need 재구현 실습,추가 실습 코드: Multi-Head Attention 완전 구현,069_mod-attention-paper-lab_practice-multi-head-attention_Attention_Is_All_You_Need_재구현_실습_-_추가_실습_코드-_Multi-Head_Attention_완전_구현.ipynb
070_BERT-and-Bidirectional-Pretraining__Masked-Language-Modeling-Data-Collator.ipynb,BERT and Bidirectional Pretraining,Masked-Language-Modeling-Data-Collator,mod-bert-mlm-lab,bert-1,BERT 양방향 사전학습 실습,Masked Language Modeling Data Collator,070_mod-bert-mlm-lab_bert-1_BERT_양방향_사전학습_실습_-_Masked_Language_Modeling_Data_Collator.ipynb
071_BERT-and-Bidirectional-Pretraining__Additional-Practice-Masked-Language-Model-Masking-Implementation.ipynb,BERT and Bidirectional Pretraining,Additional-Practice-Masked-Language-Model-Masking-Implementation,mod-bert-mlm-lab,practice-mlm-masking,BERT 양방향 사전학습 실습,추가 실습 코드: Masked Language Model 마스킹 구현,071_mod-bert-mlm-lab_practice-mlm-masking_BERT_양방향_사전학습_실습_-_추가_실습_코드-_Masked_Language_Model_마스킹_구현.ipynb
072_GPT-Series-and-Scaling-Laws__Tiny-Scaling-Law-Fitting.ipynb,GPT Series and Scaling Laws,Tiny-Scaling-Law-Fitting,mod-gpt-scaling-lab,gpt-1,GPT 시리즈와 스케일링 법칙 실습,Tiny Scaling Law Fitting,072_mod-gpt-scaling-lab_gpt-1_GPT_시리즈와_스케일링_법칙_실습_-_Tiny_Scaling_Law_Fitting.ipynb
073_GPT-Series-and-Scaling-Laws__Additional-Practice-BPE-Tokenization-Merge-Process.ipynb,GPT Series and Scaling Laws,Additional-Practice-BPE-Tokenization-Merge-Process,mod-gpt-scaling-lab,practice-bpe-tokenization-python,GPT 시리즈와 스케일링 법칙 실습,추가 실습 코드: BPE 토큰화 병합 과정,073_mod-gpt-scaling-lab_practice-bpe-tokenization-python_GPT_시리즈와_스케일링_법칙_실습_-_추가_실습_코드-_BPE_토큰화_병합_과정.ipynb
074_GPT-Series-and-Scaling-Laws__Additional-Practice-Context-Window-and-Sliding-Window.ipynb,GPT Series and Scaling Laws,Additional-Practice-Context-Window-and-Sliding-Window,mod-gpt-scaling-lab,practice-context-window-python,GPT 시리즈와 스케일링 법칙 실습,추가 실습 코드: 컨텍스트 윈도우와 Sliding Window,074_mod-gpt-scaling-lab_practice-context-window-python_GPT_시리즈와_스케일링_법칙_실습_-_추가_실습_코드-_컨텍스트_윈도우와_Sliding_Window.ipynb
075_FlashAttention-and-IO-Aware-Attention__Online-Softmax-Block-Merge.ipynb,FlashAttention and IO-Aware Attention,Online-Softmax-Block-Merge,mod-flashattention-lab,flash-1,FlashAttention/IO-aware Attention 실습,Online Softmax Block Merge,075_mod-flashattention-lab_flash-1_FlashAttention-IO-aware_Attention_실습_-_Online_Softmax_Block_Merge.ipynb
076_FlashAttention-and-IO-Aware-Attention__Additional-Practice-Attention-Memory-Access-Analysis.ipynb,FlashAttention and IO-Aware Attention,Additional-Practice-Attention-Memory-Access-Analysis,mod-flashattention-lab,practice-io-complexity,FlashAttention/IO-aware Attention 실습,추가 실습 코드: Attention의 메모리 접근 분석,076_mod-flashattention-lab_practice-io-complexity_FlashAttention-IO-aware_Attention_실습_-_추가_실습_코드-_Attention의_메모리_접근_분석.ipynb
077_LoRA-Low-Rank-Adaptation__Low-Rank-Delta-W.ipynb,LoRA: Low-Rank Adaptation,Low-Rank-Delta-W,mod-lora-lab,lora-1,LoRA 저랭크 미세조정 실습,Low-Rank Delta W,077_mod-lora-lab_lora-1_LoRA_저랭크_미세조정_실습_-_Low-Rank_Delta_W.ipynb
078_LoRA-Low-Rank-Adaptation__Additional-Practice-LoRA-Layer-Implementation.ipynb,LoRA: Low-Rank Adaptation,Additional-Practice-LoRA-Layer-Implementation,mod-lora-lab,practice-lora-basic,LoRA 저랭크 미세조정 실습,추가 실습 코드: LoRA 레이어 구현,078_mod-lora-lab_practice-lora-basic_LoRA_저랭크_미세조정_실습_-_추가_실습_코드-_LoRA_레이어_구현.ipynb
079_Mixture-of-Experts-and-Routing__Top-2-Router-and-Load-Balance.ipynb,Mixture of Experts and Routing,Top-2-Router-and-Load-Balance,mod-moe-routing-lab,moe-1,MoE 라우팅과 부하균형 실습,Top-2 Router and Load Balance,079_mod-moe-routing-lab_moe-1_MoE_라우팅과_부하균형_실습_-_Top-2_Router_and_Load_Balance.ipynb
080_Mixture-of-Experts-and-Routing__Additional-Practice-MoE-Routing-Simulation.ipynb,Mixture of Experts and Routing,Additional-Practice-MoE-Routing-Simulation,mod-moe-routing-lab,practice-moe-routing,MoE 라우팅과 부하균형 실습,추가 실습 코드: MoE Routing 시뮬레이션,080_mod-moe-routing-lab_practice-moe-routing_MoE_라우팅과_부하균형_실습_-_추가_실습_코드-_MoE_Routing_시뮬레이션.ipynb
081_RLHF-vs-DPO-Preference-Optimization__DPO-Loss-on-Paired-Preferences.ipynb,RLHF vs DPO Preference Optimization,DPO-Loss-on-Paired-Preferences,mod-rlhf-dpo-lab,dpo-1,RLHF와 DPO 선호최적화 실습,DPO Loss on Paired Preferences,081_mod-rlhf-dpo-lab_dpo-1_RLHF와_DPO_선호최적화_실습_-_DPO_Loss_on_Paired_Preferences.ipynb
082_RLHF-vs-DPO-Preference-Optimization__Additional-Practice-DPO-Loss-Calculation-Simulation.ipynb,RLHF vs DPO Preference Optimization,Additional-Practice-DPO-Loss-Calculation-Simulation,mod-rlhf-dpo-lab,practice-dpo-loss,RLHF와 DPO 선호최적화 실습,추가 실습 코드: DPO Loss 계산 시뮬레이션,082_mod-rlhf-dpo-lab_practice-dpo-loss_RLHF와_DPO_선호최적화_실습_-_추가_실습_코드-_DPO_Loss_계산_시뮬레이션.ipynb
083_Chain-of-Thought-Self-Consistency-Search__Self-Consistency-Majority-Vote.ipynb,"Chain-of-Thought, Self-Consistency, Search",Self-Consistency-Majority-Vote,mod-cot-reasoning-lab,cot-1,CoT·Self-Consistency·탐색 추론 실습,Self-Consistency Majority Vote,083_mod-cot-reasoning-lab_cot-1_CoT·Self-Consistency·탐색_추론_실습_-_Self-Consistency_Majority_Vote.ipynb
084_Chain-of-Thought-Self-Consistency-Search__Additional-Practice-CoT-Response-Parsing-and-Validation.ipynb,"Chain-of-Thought, Self-Consistency, Search",Additional-Practice-CoT-Response-Parsing-and-Validation,mod-cot-reasoning-lab,practice-cot-parser-python,CoT·Self-Consistency·탐색 추론 실습,추가 실습 코드: CoT 응답 파싱과 검증,084_mod-cot-reasoning-lab_practice-cot-parser-python_CoT·Self-Consistency·탐색_추론_실습_-_추가_실습_코드-_CoT_응답_파싱과_검증.ipynb
085_Softmax-Temperature-Top-k-and-Top-p__Temperature-and-Nucleus-Sampling.ipynb,"Softmax, Temperature, Top-k and Top-p",Temperature-and-Nucleus-Sampling,mod-softmax-temperature-lab,sampling-1,Softmax·Temperature·Top-k/p 샘플링 실습,Temperature and Nucleus Sampling,085_mod-softmax-temperature-lab_sampling-1_Softmax·Temperature·Top-k-p_샘플링_실습_-_Temperature_and_Nucleus_Sampling.ipynb
086_Softmax-Temperature-Top-k-and-Top-p__Additional-Practice-Temperature-Effects-on-Distribution.ipynb,"Softmax, Temperature, Top-k and Top-p",Additional-Practice-Temperature-Effects-on-Distribution,mod-softmax-temperature-lab,practice-temperature-effect,Softmax·Temperature·Top-k/p 샘플링 실습,추가 실습 코드: Temperature가 분포에 미치는 영향,086_mod-softmax-temperature-lab_practice-temperature-effect_Softmax·Temperature·Top-k-p_샘플링_실습_-_추가_실습_코드-_Temperature가_분포에_미치는_영향.ipynb
087_Softmax-Temperature-Top-k-and-Top-p__Additional-Practice-Top-K-vs-Top-P-Sampling.ipynb,"Softmax, Temperature, Top-k and Top-p",Additional-Practice-Top-K-vs-Top-P-Sampling,mod-softmax-temperature-lab,practice-top-k-top-p,Softmax·Temperature·Top-k/p 샘플링 실습,추가 실습 코드: Top-K vs Top-P 샘플링,087_mod-softmax-temperature-lab_practice-top-k-top-p_Softmax·Temperature·Top-k-p_샘플링_실습_-_추가_실습_코드-_Top-K_vs_Top-P_샘플링.ipynb
088_LayerNorm-RMSNorm-and-Training-Stability__LayerNorm-vs-RMSNorm.ipynb,"LayerNorm, RMSNorm, and Training Stability",LayerNorm-vs-RMSNorm,mod-layernorm-rmsnorm-lab,norm-1,LayerNorm/RMSNorm 학습 안정성 실습,LayerNorm vs RMSNorm,088_mod-layernorm-rmsnorm-lab_norm-1_LayerNorm-RMSNorm_학습_안정성_실습_-_LayerNorm_vs_RMSNorm.ipynb
089_LayerNorm-RMSNorm-and-Training-Stability__Additional-Practice-LayerNorm-vs-BatchNorm-Comparison.ipynb,"LayerNorm, RMSNorm, and Training Stability",Additional-Practice-LayerNorm-vs-BatchNorm-Comparison,mod-layernorm-rmsnorm-lab,practice-layernorm-vs-batchnorm,LayerNorm/RMSNorm 학습 안정성 실습,추가 실습 코드: LayerNorm vs BatchNorm 비교,089_mod-layernorm-rmsnorm-lab_practice-layernorm-vs-batchnorm_LayerNorm-RMSNorm_학습_안정성_실습_-_추가_실습_코드-_LayerNorm_vs_BatchNorm_비교.ipynb
090_Positional-Encoding-RoPE-and-ALiBi__RoPE-Relative-Position-Property.ipynb,"Positional Encoding, RoPE, and ALiBi",RoPE-Relative-Position-Property,mod-rope-alibi-lab,pos-1,위치 인코딩 RoPE/ALiBi 실습,RoPE Relative Position Property,090_mod-rope-alibi-lab_pos-1_위치_인코딩_RoPE-ALiBi_실습_-_RoPE_Relative_Position_Property.ipynb
091_Attention-from-Scratch-Debugger-Edition__Shape-Safe-Attention-Function.ipynb,Attention from Scratch: Debugger Edition,Shape-Safe-Attention-Function,mod-attention-from-scratch-lab,scratch-1,Attention 직접 구현 디버거,Shape-Safe Attention Function,091_mod-attention-from-scratch-lab_scratch-1_Attention_직접_구현_디버거_-_Shape-Safe_Attention_Function.ipynb
092_Transformer-Block-Full-Forward-Pass__Pre-LN-Block-with-SwiGLU-like-MLP.ipynb,Transformer Block Full Forward Pass,Pre-LN-Block-with-SwiGLU-like-MLP,mod-transformer-block-lab,block-1,Transformer Block 완전 전방패스 실습,Pre-LN Block with SwiGLU-like MLP,092_mod-transformer-block-lab_block-1_Transformer_Block_완전_전방패스_실습_-_Pre-LN_Block_with_SwiGLU-like_MLP.ipynb
093_RAG-Agentic-Search-and-Evaluation__Tiny-BM25-like-Retrieval-and-Sufficiency-Check.ipynb,"RAG, Agentic Search, and Evaluation",Tiny-BM25-like-Retrieval-and-Sufficiency-Check,mod-rag-agentic-research-lab,rag-1,RAG·Agentic Search·평가 실습,Tiny BM25-like Retrieval and Sufficiency Check,093_mod-rag-agentic-research-lab_rag-1_RAG·Agentic_Search·평가_실습_-_Tiny_BM25-like_Retrieval_and_Sufficiency_Check.ipynb
094_2025-Mechanistic-Interpretability-SAEs-and-Attribution-Graphs__Sparse-Feature-Decomposition-Toy-SAE.ipynb,2025 Mechanistic Interpretability: SAEs and Attribution Graphs,Sparse-Feature-Decomposition-Toy-SAE,mod-interpretability-2025-lab,interp-1,2025 기계론적 해석성: SAE·Attribution Graph 실습,Sparse Feature Decomposition Toy SAE,094_mod-interpretability-2025-lab_interp-1_2025_기계론적_해석성-_SAE·Attribution_Graph_실습_-_Sparse_Feature_Decomposition_Toy_SAE.ipynb
095_Python-and-NumPy-Fundamentals-for-Transformers__Matrix-Operations-Basics.ipynb,Python & NumPy Fundamentals for Transformers,Matrix-Operations-Basics,tut-0-1,s0-1-1,트랜스포머를 위한 Python & NumPy 기초,행렬 연산 기초,095_tut-0-1_s0-1-1_트랜스포머를_위한_Python_&_NumPy_기초_-_행렬_연산_기초.ipynb
096_Python-and-NumPy-Fundamentals-for-Transformers__Tensor-Operations-and-Batch-Processing.ipynb,Python & NumPy Fundamentals for Transformers,Tensor-Operations-and-Batch-Processing,tut-0-1,s0-1-2,트랜스포머를 위한 Python & NumPy 기초,텐서 연산과 배치 처리,096_tut-0-1_s0-1-2_트랜스포머를_위한_Python_&_NumPy_기초_-_텐서_연산과_배치_처리.ipynb
097_Zero-Layer-Transformer-Bigram-Statistics__Zero-Layer-Transformer-Implementation.ipynb,Zero-Layer Transformer: Bigram Statistics,Zero-Layer-Transformer-Implementation,tut-1-1,s1-1-1,0-레이어 트랜스포머: 바이그램 통계,0-레이어 트랜스포머 구현,097_tut-1-1_s1-1-1_0-레이어_트랜스포머-_바이그램_통계_-_0-레이어_트랜스포머_구현.ipynb
098_One-Layer-Attention-QK-and-OV-Circuits__QK-Circuit-Determining-Attention-Patterns.ipynb,One-Layer Attention: QK and OV Circuits,QK-Circuit-Determining-Attention-Patterns,tut-2-1,s2-1-1,1-레이어 어텐션: QK 회로와 OV 회로,QK 회로: 어텐션 패턴 결정,098_tut-2-1_s2-1-1_1-레이어_어텐션-_QK_회로와_OV_회로_-_QK_회로-_어텐션_패턴_결정.ipynb
099_One-Layer-Attention-QK-and-OV-Circuits__OV-Circuit-Information-Movement.ipynb,One-Layer Attention: QK and OV Circuits,OV-Circuit-Information-Movement,tut-2-1,s2-1-2,1-레이어 어텐션: QK 회로와 OV 회로,OV 회로: 정보 이동,099_tut-2-1_s2-1-2_1-레이어_어텐션-_QK_회로와_OV_회로_-_OV_회로-_정보_이동.ipynb
100_Composition-of-Attention-Heads__Three-Types-of-Composition.ipynb,Composition of Attention Heads,Three-Types-of-Composition,tut-3-1,s3-1-1,어텐션 헤드의 합성 (Composition),세 가지 합성 방식,100_tut-3-1_s3-1-1_어텐션_헤드의_합성_(Composition)_-_세_가지_합성_방식.ipynb
101_Induction-Heads-In-Context-Learning__Induction-Head-Mechanism.ipynb,Induction Heads: In-Context Learning,Induction-Head-Mechanism,tut-4-1,s4-1-1,인덕션 헤드: 인컨텍스트 학습의 비밀,인덕션 헤드 메커니즘,101_tut-4-1_s4-1-1_인덕션_헤드-_인컨텍스트_학습의_비밀_-_인덕션_헤드_메커니즘.ipynb
102_Residual-Stream-as-Communication-Channel__Residual-Stream-and-Subspaces.ipynb,Residual Stream as Communication Channel,Residual-Stream-and-Subspaces,tut-5-1,s5-1-1,통신 채널로서의 잔차 스트림,잔차 스트림과 부분 공간,102_tut-5-1_s5-1-1_통신_채널로서의_잔차_스트림_-_잔차_스트림과_부분_공간.ipynb
103_Path-Expansion-Trick__Path-Expansion-of-Logits.ipynb,Path Expansion Trick,Path-Expansion-of-Logits,tut-6-1,s6-1-1,경로 확장 기법 (Path Expansion Trick),로짓의 경로 확장,103_tut-6-1_s6-1-1_경로_확장_기법_(Path_Expansion_Trick)_-_로짓의_경로_확장.ipynb
104_Full-Transformer-Implementation-from-Scratch__Complete-Attention-Only-Transformer.ipynb,Full Transformer Implementation from Scratch,Complete-Attention-Only-Transformer,tut-7-1,s7-1-1,트랜스포머 전체 구현 (처음부터),완전한 어텐션 전용 트랜스포머,104_tut-7-1_s7-1-1_트랜스포머_전체_구현_(처음부터)_-_완전한_어텐션_전용_트랜스포머.ipynb
105_Mathematical-Framework-Tensor-Operations__Tensor-Products-and-Attention-Heads.ipynb,Mathematical Framework: Tensor Operations,Tensor-Products-and-Attention-Heads,tut-8-1,s8-1-1,수학적 프레임워크: 텐서 연산,텐서 곱과 어텐션 헤드,105_tut-8-1_s8-1-1_수학적_프레임워크-_텐서_연산_-_텐서_곱과_어텐션_헤드.ipynb
106_Mechanistic-Interpretability-Tools__Reading-Directly-from-Weights.ipynb,Mechanistic Interpretability Tools,Reading-Directly-from-Weights,tut-9-1,s9-1-1,기계론적 해석성 도구,가중치에서 직접 읽기,106_tut-9-1_s9-1-1_기계론적_해석성_도구_-_가중치에서_직접_읽기.ipynb
107_Training-Transformers-from-Scratch__Adam-Optimizer-and-Backpropagation.ipynb,Training Transformers from Scratch,Adam-Optimizer-and-Backpropagation,tut-10-1,s10-1-1,트랜스포머 처음부터 훈련하기,Adam 옵티마이저와 역전파,107_tut-10-1_s10-1-1_트랜스포머_처음부터_훈련하기_-_Adam_옵티마이저와_역전파.ipynb
108_Token-Embeddings-Structure-and-Analysis__Geometry-of-Embedding-Space.ipynb,Token Embeddings: Structure and Analysis,Geometry-of-Embedding-Space,tut-10b-1,s10b-1-1,토큰 임베딩: 구조와 분석,임베딩 공간의 기하학,108_tut-10b-1_s10b-1-1_토큰_임베딩-_구조와_분석_-_임베딩_공간의_기하학.ipynb
109_MLP-Layers-Feedforward-Networks-in-Transformers__Structure-and-Role-of-MLP-Layers.ipynb,MLP Layers: Feedforward Networks in Transformers,Structure-and-Role-of-MLP-Layers,tut-11-1,s11-1-1,MLP 레이어: 트랜스포머의 피드포워드 네트워크,MLP 레이어의 구조와 역할,109_tut-11-1_s11-1-1_MLP_레이어-_트랜스포머의_피드포워드_네트워크_-_MLP_레이어의_구조와_역할.ipynb
110_Superposition-How-Models-Represent-More-than-their-Dimension__Understanding-Superposition.ipynb,Superposition: How Models Represent More than their Dimension,Understanding-Superposition,tut-12-1,s12-1-1,중첩(Superposition): 차원보다 많은 정보 표현,중첩 현상 이해,110_tut-12-1_s12-1-1_중첩(Superposition)-_차원보다_많은_정보_표현_-_중첩_현상_이해.ipynb
111_Circuit-Analysis-Finding-Computational-Subgraphs__What-is-a-Circuit.ipynb,Circuit Analysis: Finding Computational Subgraphs,What-is-a-Circuit,tut-13-1,s13-1-1,회로 분석: 계산 서브그래프 찾기,회로(Circuit)란 무엇인가,111_tut-13-1_s13-1-1_회로_분석-_계산_서브그래프_찾기_-_회로(Circuit)란_무엇인가.ipynb
112_IEEE-754-Binary-Floating-Point-Internals__IEEE-754-Bit-Layout-and-Precision-Limits.ipynb,IEEE 754: Binary Floating Point Internals,IEEE-754-Bit-Layout-and-Precision-Limits,ull-1,ull-1-1,IEEE 754: 부동소수점의 이진 내부 구조,IEEE 754 비트 레이아웃과 정밀도 한계,112_ull-1_ull-1-1_IEEE_754-_부동소수점의_이진_내부_구조_-_IEEE_754_비트_레이아웃과_정밀도_한계.ipynb
113_Step-by-Step-Matrix-Multiplication-Tracer__From-Single-Element-Calculation-to-Matrix-Multiplication.ipynb,Step-by-Step Matrix Multiplication Tracer,From-Single-Element-Calculation-to-Matrix-Multiplication,ull-2,ull-2-1,행렬 곱셈 단계별 추적기,단일 원소 계산부터 행렬 곱까지,113_ull-2_ull-2-1_행렬_곱셈_단계별_추적기_-_단일_원소_계산부터_행렬_곱까지.ipynb
114_Backpropagation-Through-Attention-Step-by-Step__Mathematics-of-Attention-Backpropagation.ipynb,Backpropagation Through Attention: Step by Step,Mathematics-of-Attention-Backpropagation,ull-3,ull-3-1,어텐션을 통한 역전파: 단계별,어텐션 역전파의 수학,114_ull-3_ull-3-1_어텐션을_통한_역전파-_단계별_-_어텐션_역전파의_수학.ipynb
115_Cache-Lines-and-Memory-Access-Patterns__CPU-Cache-and-Matrix-Operation-Optimization.ipynb,Cache Lines and Memory Access Patterns,CPU-Cache-and-Matrix-Operation-Optimization,ull-4,ull-4-1,캐시 라인과 메모리 접근 패턴,CPU 캐시와 행렬 연산 최적화,115_ull-4_ull-4-1_캐시_라인과_메모리_접근_패턴_-_CPU_캐시와_행렬_연산_최적화.ipynb
116_Transformer-Parameter-Counting-and-Memory-Budget__Precise-Parameter-Counting.ipynb,Transformer Parameter Counting & Memory Budget,Precise-Parameter-Counting,ull-5,ull-5-1,트랜스포머 파라미터 계산과 메모리 예산,파라미터 수 정밀 계산,116_ull-5_ull-5-1_트랜스포머_파라미터_계산과_메모리_예산_-_파라미터_수_정밀_계산.ipynb
